ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Pickup_Delay,Distance_km,Road_traffic_density_encoded
0x36b8,PUNERES19DEL02,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,1900-01-01 20:24:12,1900-01-01 20:29:38,Sandstorms,Jam,0,Snack,motorcycle,2,1,0,36,5.433333333333334,0.4548477680764773,3.0
0x5795,RANCHIRES06DEL02,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,1900-01-01 22:35:33,1900-01-01 22:45:19,Sandstorms,Low,2,Meal,electric_scooter,0,1,0,26,9.766666666666667,1.7698597051325693,0.0
0x6c6b,COIMBRES13DEL01,37,5,11.003669,76.976494,11.013669,76.986494,2022-03-11,1900-01-01 08:20:06,1900-01-01 08:33:37,Sandstorms,Low,1,Snack,motorcycle,1,1,0,20,13.516666666666667,-1.4544566010594924,0.0
0xb816,CHENRES19DEL02,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,1900-01-01 19:35:34,1900-01-01 19:49:07,Windy,Jam,2,Meal,scooter,1,1,0,39,13.55,1.8681676882997573,3.0
0x539b,MUMRES02DEL01,25,4,19.221315,72.862381,19.261315,72.902381,2022-03-26,1900-01-01 12:26:13,1900-01-01 12:33:59,Cloudy,High,1,Buffet,motorcycle,1,1,0,34,7.766666666666667,-0.6407304731003434,2.0
0xa1b2,CHENRES01DEL01,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,1900-01-01 18:40:25,1900-01-01 18:52:03,Sunny,Medium,2,Meal,electric_scooter,1,1,0,15,11.633333333333333,1.3141713434907671,1.0
0x3231,JAPRES16DEL03,27,5,26.849596,75.800512,26.879596,75.830512,2022-04-05,1900-01-01 20:40:23,1900-01-01 20:41:04,Stormy,Jam,0,Snack,motorcycle,0,1,3,18,0.6833333333333333,-0.934212719174701,3.0
0x8bc0,SURRES15DEL03,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,1900-01-01 23:24:56,1900-01-01 23:34:52,Cloudy,Low,1,Drinks,scooter,0,1,0,38,9.933333333333334,0.7097035450115545,0.0
0x2288,BANGRES09DEL03,32,4,12.934179,77.615797,13.024179,77.705797,2022-03-16,1900-01-01 21:21:18,1900-01-01 21:39:19,Windy,Jam,0,Buffet,motorcycle,1,1,0,47,18.016666666666666,0.7606347583331993,3.0
0x3c5e,PUNERES04DEL01,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,1900-01-01 23:40:05,1900-01-01 23:45:01,Windy,Low,2,Buffet,electric_scooter,0,1,3,12,4.933333333333334,1.2753437683504114,0.0
0x3e60,COIMBRES02DEL03,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,1900-01-01 22:37:24,1900-01-01 22:51:40,Sandstorms,Low,2,Drinks,motorcycle,1,1,0,26,14.266666666666667,-0.898536808047349,0.0
0xbff,SURRES16DEL02,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,1900-01-01 22:36:13,1900-01-01 22:42:16,Stormy,Low,0,Drinks,motorcycle,1,1,3,22,6.05,-0.3756077114783878,0.0
0xd936,GOARES15DEL02,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,1900-01-01 23:29:28,1900-01-01 23:35:18,Sandstorms,Low,0,Buffet,motorcycle,0,1,3,21,5.833333333333333,-0.35483946241263475,0.0
0xd681,GOARES07DEL01,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,1900-01-01 13:40:46,1900-01-01 13:40:35,Cloudy,High,1,Drinks,scooter,1,1,3,25,-0.18333333333333332,-0.6304678154451657,2.0
0x30c8,PUNERES19DEL02,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,1900-01-01 22:36:45,1900-01-01 22:46:34,Cloudy,Low,2,Drinks,scooter,1,1,0,30,9.816666666666666,1.8216486281452189,0.0
0xb843,PUNERES02DEL01,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,1900-01-01 18:57:18,1900-01-01 19:11:00,Sunny,Medium,1,Snack,motorcycle,1,1,0,22,13.7,0.18151598299479477,1.0
0xb3a0,PUNERES18DEL01,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,1900-01-01 14:19:29,1900-01-01 14:27:43,Windy,High,1,Snack,scooter,0,1,3,10,8.233333333333333,-0.6388297618538324,2.0
0x6531,SURRES08DEL01,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,1900-01-01 11:00:54,1900-01-01 11:12:14,Sandstorms,Low,2,Meal,scooter,1,1,0,19,11.333333333333334,-1.4610645123419936,0.0
0x4bda,HYDRES17DEL02,35,5,17.451976,78.385883,17.471976,78.405883,2022-04-01,1900-01-01 09:49:54,1900-01-01 09:57:09,Sunny,Low,2,Snack,scooter,1,1,3,11,7.25,-1.1839646641593549,0.0
0x9d26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,1900-01-01 08:41:46,1900-01-01 08:58:26,Stormy,Low,2,Buffet,scooter,0,1,0,11,16.666666666666668,-1.1784239220529884,0.0
0x9b18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,1900-01-01 23:02:19,1900-01-01 23:12:02,Fog,Low,1,Snack,motorcycle,1,1,0,28,9.716666666666667,0.20651335370009838,0.0
0x5d99,CHENRES11DEL01,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,1900-01-01 17:25:56,1900-01-01 17:33:18,Cloudy,Medium,1,Snack,motorcycle,1,1,0,33,7.366666666666666,0.20617019339763124,1.0
0x4f0,MUMRES17DEL02,NaN,NaN,19.121999,72.908493,19.201999,72.988493,2022-04-06,Unknown,1900-01-01 18:36:55,Cloudy,Medium,1,Drinks,scooter,1,1,0,33,9.25,0.45146163816312673,1.0
0xb796,SURRES17DEL03,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,1900-01-01 19:49:09,1900-01-01 19:53:08,Sandstorms,Jam,0,Snack,motorcycle,3,1,0,52,3.9833333333333334,0.7097861022982872,3.0
0x85b4,MUMRES07DEL01,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,1900-01-01 19:11:20,1900-01-01 19:28:23,Stormy,Jam,1,Snack,scooter,1,1,0,22,17.05,1.2705539434178368,3.0
0xc644,KOLRES16DEL02,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,1900-01-01 11:00:23,1900-01-01 11:02:20,Fog,Low,1,Snack,scooter,1,1,3,16,1.95,-1.1920515464348447,0.0
0x6999,MUMRES02DEL03,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,1900-01-01 21:43:14,1900-01-01 21:49:07,Sunny,Jam,2,Drinks,electric_scooter,0,1,0,11,5.883333333333334,-0.09492377032727271,3.0
0x63b6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,1900-01-01 19:05:13,1900-01-01 19:19:07,Windy,Medium,1,Drinks,scooter,1,1,0,25,13.9,-0.07045636580698986,1.0
0xa30b,CHENRES11DEL01,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,1900-01-01 16:46:54,1900-01-01 16:56:06,Cloudy,Medium,0,Drinks,motorcycle,1,1,3,26,9.2,-0.6246288817086371,1.0
0x3556,SURRES09DEL01,33,5,21.175975,72.795503,21.185975,72.805503,2022-03-19,1900-01-01 11:34:46,1900-01-01 11:42:39,Sunny,High,2,Snack,scooter,1,1,0,18,7.883333333333334,-1.4610667147513756,2.0
0x5554,RANCHIRES15DEL01,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,1900-01-01 15:11:26,1900-01-01 15:17:44,Fog,Medium,1,Snack,motorcycle,1,1,0,16,6.3,-0.6546858395877478,1.0
0x25fd,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,1900-01-01 22:49:59,1900-01-01 22:58:25,Stormy,Low,2,Drinks,scooter,1,1,0,23,8.433333333333334,1.3147084241768419,0.0
0x7ac8,COIMBRES14DEL02,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,1900-01-01 20:46:06,1900-01-01 20:56:05,Sandstorms,Jam,0,Drinks,motorcycle,1,1,0,36,9.983333333333333,0.4912727333049957,3.0
0x3da1,SURRES08DEL03,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,1900-01-01 22:51:51,1900-01-01 23:06:11,Cloudy,Low,2,Snack,motorcycle,0,1,0,16,14.333333333333334,-0.10433199766599183,0.0
0x272d,COIMBRES07DEL03,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,1900-01-01 17:56:54,1900-01-01 18:04:20,Sunny,Medium,0,Buffet,motorcycle,0,1,3,19,7.433333333333334,0.7693870079763492,1.0
0xddc5,AGRRES12DEL03,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,1900-01-01 22:48:27,1900-01-01 23:00:58,Sunny,Low,1,Snack,motorcycle,1,1,0,27,12.516666666666667,0.6590390836636284,0.0
0xb002,JAPRES14DEL01,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,1900-01-01 09:30:55,1900-01-01 09:40:53,Windy,Low,2,Buffet,scooter,0,1,1,20,9.966666666666667,-1.466391141004079,0.0
0x8aa2,JAPRES18DEL02,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,1900-01-01 22:27:52,1900-01-01 22:37:54,Sandstorms,Low,1,Drinks,scooter,0,1,3,18,10.033333333333333,0.39542755249832273,0.0
0xb55a,MYSRES04DEL03,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,1900-01-01 21:56:59,1900-01-01 22:02:35,Sunny,Jam,2,Drinks,scooter,0,1,0,22,5.6,-0.9003913678464751,3.0
0x73cc,SURRES12DEL01,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,1900-01-01 22:43:00,1900-01-01 22:58:43,Cloudy,Low,2,Drinks,scooter,1,1,0,34,15.716666666666667,0.16693016025314428,0.0
0xbe80,MUMRES04DEL01,33,5,19.254567,72.848923,19.364567,72.958923,2022-03-31,1900-01-01 23:53:18,1900-01-01 23:55:02,Sandstorms,Low,0,Buffet,motorcycle,0,1,3,24,1.7333333333333334,1.2691765080230308,0.0
0x1609,PUNERES02DEL01,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,1900-01-01 15:26:14,1900-01-01 15:40:45,Fog,Medium,2,Drinks,scooter,1,1,0,17,14.516666666666667,-0.6387045292326176,1.0
0xd255,ALHRES07DEL02,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,1900-01-01 10:22:51,1900-01-01 10:32:33,Sandstorms,Low,2,Meal,electric_scooter,0,1,0,14,9.7,-1.197475558911997,0.0
0xde72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,1900-01-01 20:56:26,1900-01-01 21:04:11,Stormy,Jam,2,Meal,motorcycle,1,1,0,30,7.75,-0.421030566422772,3.0
0xa258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,1900-01-01 20:15:09,1900-01-01 20:18:57,Cloudy,Jam,1,Snack,scooter,1,1,0,36,3.8,0.7604496146570816,3.0
0x8b53,SURRES11DEL01,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,1900-01-01 12:15:28,1900-01-01 12:17:50,Sunny,High,1,Buffet,scooter,1,1,3,18,2.3666666666666667,-0.6469476066801404,2.0
0xbbde,SURRES01DEL01,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,1900-01-01 15:34:13,1900-01-01 15:46:25,Fog,Medium,1,Meal,scooter,0,1,0,17,12.2,-0.6470437288312744,1.0
0xa9f,BANGRES13DEL01,NaN,NaN,12.935662,77.61413,12.975662,77.65413,2022-03-11,Unknown,1900-01-01 15:31:11,NaN,NaN,1,Drinks,scooter,0,1,0,19,9.25,-0.6243545771464506,1.0
0x4b7f,HYDRES13DEL03,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,1900-01-01 23:55:26,1900-01-01 00:09:32,Fog,Low,1,Buffet,motorcycle,0,1,0,10,-1425.9,-0.08701964898413618,0.0
0xb962,CHENRES11DEL03,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,1900-01-01 20:28:18,1900-01-01 20:43:18,Sandstorms,Jam,1,Buffet,motorcycle,2,1,0,37,15.0,0.7600093383955144,3.0
0x633c,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,1900-01-01 20:51:04,1900-01-01 21:02:49,Fog,Jam,1,Drinks,scooter,2,1,0,44,11.75,0.7606389763496503,3.0
0x2dc6,VADRES20DEL01,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,1900-01-01 12:37:58,1900-01-01 12:46:06,Windy,High,2,Drinks,electric_scooter,1,1,0,28,8.133333333333333,-0.6509003907448161,2.0
0x903a,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,1900-01-01 21:04:23,1900-01-01 21:17:20,Cloudy,Jam,2,Snack,scooter,1,1,0,42,12.95,1.3145907939921475,3.0
0x1fb7,CHENRES02DEL01,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,1900-01-01 18:20:12,1900-01-01 18:24:34,Cloudy,Medium,2,Snack,scooter,1,1,0,39,4.366666666666666,1.3136952247145106,1.0
0x34d7,MUMRES04DEL01,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,1900-01-01 18:24:02,1900-01-01 18:29:55,Stormy,Medium,0,Meal,motorcycle,0,1,3,20,5.883333333333334,1.2691765080230308,1.0
0x156b,JAPRES03DEL02,30,5,26.913483,75.803139,26.933483,75.823139,2022-03-24,1900-01-01 11:49:55,1900-01-01 11:53:00,Stormy,High,1,Buffet,motorcycle,1,1,0,31,3.0833333333333335,-1.2004076831642385,2.0
0x56ad,HYDRES04DEL03,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,1900-01-01 20:46:50,1900-01-01 20:59:35,Stormy,Jam,1,Buffet,motorcycle,0,1,0,13,12.75,-0.08693342102596854,3.0
0x837c,PUNERES14DEL02,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,1900-01-01 21:57:59,1900-01-01 22:13:18,Stormy,Jam,1,Meal,motorcycle,NaN,1,0,28,15.316666666666666,-0.36515929577814227,3.0
0xcbc4,GOARES04DEL01,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,1900-01-01 12:47:18,1900-01-01 12:52:18,Windy,High,1,Snack,scooter,1,1,3,19,5.0,-0.6304888342549377,2.0
0xc19e,AURGRES08DEL02,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,1900-01-01 23:32:58,1900-01-01 23:49:25,Fog,Low,0,Buffet,motorcycle,2,2,3,42,16.45,0.4467607702696369,0.0
0x1d60,BANGRES12DEL01,24,5,12.939496,77.625999,12.949496,77.635999,2022-03-01,1900-01-01 10:52:13,1900-01-01 10:58:51,Fog,Low,0,Drinks,motorcycle,1,1,0,23,6.633333333333334,-1.455409819481667,0.0
0x95fb,HYDRES05DEL01,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,1900-01-01 21:28:33,1900-01-01 21:44:19,Stormy,Jam,0,Meal,motorcycle,1,1,0,39,15.766666666666667,1.2839489869558074,3.0
0x8195,RANCHIRES17DEL01,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,1900-01-01 10:13:03,1900-01-01 10:23:07,Stormy,Low,2,Drinks,motorcycle,1,1,0,25,10.066666666666666,-1.4629895652120886,0.0
0xc042,AGRRES010DEL01,34,4.7,27.163303,78.057044,27.233303,78.127044,2022-02-16,1900-01-01 23:04:00,1900-01-01 23:08:59,Sandstorms,Low,1,Drinks,scooter,0,1,0,15,4.983333333333333,0.12768552670721584,0.0
0x6d19,INDORES12DEL02,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,1900-01-01 08:43:53,1900-01-01 08:58:17,Cloudy,Low,2,Drinks,scooter,1,1,3,15,14.4,-1.192422285740792,0.0
0x35e6,JAPRES15DEL03,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,1900-01-01 17:51:09,1900-01-01 17:58:57,Sunny,Medium,2,Buffet,electric_scooter,0,1,0,15,7.8,0.6615745780794224,1.0
0xb437,SURRES16DEL01,25,5,21.160437,72.774209,21.270437,72.884209,2022-03-18,1900-01-01 20:29:32,1900-01-01 20:40:33,Stormy,Jam,1,Meal,motorcycle,NaN,1,0,15,11.016666666666667,1.2523097617980243,3.0
0x97e3,MYSRES16DEL02,29,5,12.316967,76.603067,12.366967,76.653067,2022-04-01,1900-01-01 22:23:15,1900-01-01 22:25:03,Sunny,Low,0,Drinks,motorcycle,0,1,0,18,1.8,-0.3457416411061311,0.0
0xa3e0,MUMRES05DEL03,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,1900-01-01 23:44:35,1900-01-01 23:50:57,Sandstorms,Low,2,Drinks,electric_scooter,0,1,0,29,6.366666666666666,0.7257476953467683,0.0
0x4161,COIMBRES19DEL02,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,1900-01-01 23:29:14,1900-01-01 23:33:22,Fog,Low,0,Snack,motorcycle,0,1,0,20,4.133333333333334,-0.3426262926060894,0.0
0x1236,MYSRES07DEL01,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,1900-01-01 12:40:37,1900-01-01 12:56:06,Cloudy,High,2,Meal,scooter,1,1,0,39,15.483333333333333,-0.6230876194588143,2.0
0x2558,PUNERES17DEL01,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,1900-01-01 23:30:43,1900-01-01 23:49:25,Windy,Low,0,Snack,motorcycle,0,1,0,19,18.7,1.2752066314760182,0.0
0x3185,HYDRES19DEL03,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,1900-01-01 23:57:58,1900-01-01 00:10:05,Cloudy,Low,1,Snack,scooter,1,1,3,19,-1427.8833333333334,-0.9097542983118057,0.0
0x3c57,MUMRES14DEL02,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,1900-01-01 22:50:16,1900-01-01 23:00:50,Windy,Low,0,Meal,motorcycle,0,1,0,17,10.566666666666666,1.8155570160747452,0.0
0x4863,COIMBRES02DEL01,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,1900-01-01 10:27:52,1900-01-01 10:40:03,Stormy,Low,2,Snack,motorcycle,1,1,3,15,12.183333333333334,-1.454465146051601,0.0
0x6757,INDORES05DEL02,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,1900-01-01 08:46:34,1900-01-01 09:04:39,Sandstorms,Low,0,Meal,motorcycle,0,1,3,19,18.083333333333332,-1.1923848197843525,0.0
0x22ad,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,1900-01-01 21:27:34,1900-01-01 21:43:14,Sandstorms,Jam,0,Buffet,motorcycle,1,1,0,29,15.666666666666666,0.7604190072629444,3.0
0x9f99,MUMRES11DEL01,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,1900-01-01 22:35:26,1900-01-01 22:42:56,Cloudy,Low,2,Snack,scooter,1,1,3,22,7.5,1.2713699446981503,0.0
0x6781,MYSRES12DEL02,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,1900-01-01 20:12:18,1900-01-01 20:22:44,Fog,Jam,1,Drinks,scooter,0,1,0,42,10.433333333333334,1.872917896144725,3.0
0x1b8d,SURRES09DEL02,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,1900-01-01 10:55:59,1900-01-01 11:13:26,Sandstorms,Low,2,Snack,scooter,0,1,3,12,17.45,-1.1897056591993374,0.0
0x1aea,COIMBRES12DEL02,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,1900-01-01 20:35:51,1900-01-01 20:47:11,Cloudy,Jam,1,Snack,motorcycle,1,1,0,38,11.333333333333334,1.8809596752536022,3.0
0x1e42,SURRES08DEL01,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,1900-01-01 23:20:56,1900-01-01 23:35:10,Sunny,Low,0,Drinks,motorcycle,1,1,0,23,14.233333333333333,1.2521907589249095,0.0
0xddc8,KNPRES05DEL02,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,1900-01-01 10:38:50,1900-01-01 10:54:41,Cloudy,Low,1,Meal,scooter,0,1,0,15,15.85,-1.199523833498285,0.0
0x24ac,SURRES05DEL02,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,1900-01-01 23:50:38,1900-01-01 23:52:38,Sunny,Low,0,Snack,motorcycle,1,1,0,24,2.0,0.43829049927109315,0.0
0x3f01,MUMRES15DEL01,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,1900-01-01 19:56:42,1900-01-01 20:04:01,Windy,Jam,1,Drinks,motorcycle,0,1,0,37,7.316666666666666,1.2698390402214759,3.0
0x628c,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,1900-01-01 22:18:25,1900-01-01 22:26:43,Sandstorms,Low,1,Snack,scooter,0,1,0,24,8.3,-0.3474531249504406,0.0
0x6c38,RANCHIRES11DEL03,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,1900-01-01 23:14:14,1900-01-01 23:19:01,Sunny,Low,2,Buffet,electric_scooter,0,1,0,13,4.783333333333333,-0.11580770102595013,0.0
0x4beb,MYSRES08DEL01,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,1900-01-01 09:18:33,1900-01-01 09:31:55,Cloudy,Low,0,Drinks,motorcycle,0,1,1,16,13.366666666666667,-1.4550774898338266,0.0
0x8339,RANCHIRES07DEL02,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,1900-01-01 18:28:08,1900-01-01 18:36:29,Cloudy,Medium,0,Drinks,motorcycle,1,1,3,42,8.35,0.4229938726364864,1.0
0x3ec5,RANCHIRES01DEL03,20,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,1900-01-01 22:13:06,1900-01-01 22:24:08,Sandstorms,Low,0,Meal,motorcycle,1,1,0,17,11.033333333333333,0.6919098587918951,0.0
